Frame,Food Name(s),Confidence(%)
528,Banh_khot,50
529,Banh_khot,72
530,Banh_khot,73
531,Banh_khot,70
532,Banh_khot,62
533,Banh_khot,53
534,Banh_khot,81
535,Banh_khot,67
536,Banh_khot,71
537,Banh_khot,81
538,Banh_khot,82
539,Banh_khot,86
540,Banh_khot,87
541,Banh_khot,92
542,Banh_khot,90
543,Banh_khot,93
544,Banh_khot,93
545,Banh_khot,67
546,Banh_khot,86
547,Banh_khot,59
548,Banh_khot,87
549,Banh_khot,67
550,Banh_khot,74
551,Banh_khot,71
552,Banh_khot,76
553,Banh_khot,78
554,Banh_khot,73
555,Banh_khot,76
556,Banh_khot,68
557,Banh_khot,77
558,Banh_khot,76
559,Banh_khot,71
560,Banh_khot,76
561,Banh_khot,72
562,Banh_khot,69
563,Banh_khot,61
564,Banh_khot,71
565,Banh_khot,64
566,Oc,63
567,Trung,55
568,Hamburger,51
569,Hamburger,59
570,Hamburger,61
571,Hamburger,65
572,Hamburger,62
573,Lau,54
574,Lau,56
575,Lau,67
576,Lau,70
577,Lau,66
578,Lau,53
579,Hamburger,52
580,Hamburger,55
581,Hamburger,73
582,Hamburger,56
583,Hamburger,60
584,Hamburger,56
585,Hamburger,51
586,Hamburger,53
587,Pho,51
588,Banh_mi,87
589,Banh_mi,90
590,Banh_mi,75
591,Banh_mi,80
592,Banh_mi,82
593,Banh_mi,78
594,Banh_mi,65
595,Banh_mi,75
596,Banh_mi,88
597,Banh_mi,86
598,Banh_mi,85
599,Banh_mi,80
600,Banh_mi,72
601,Banh_mi,62
602,Banh_mi,75
603,Banh_mi,72
604,Banh_mi,69
605,Banh_mi,51
606,Goi_cuon,63
607,Goi_cuon,52
608,Goi_cuon,52
609,Goi_cuon,53
610,Goi_cuon,55
611,Hamburger,52
612,Hamburger,89
613,Hamburger,91
614,Hamburger,90
615,Hamburger,88
616,Hamburger,81
617,Hamburger,77
618,Hamburger,86
619,Hamburger,68
620,Hamburger,80
621,Hamburger,79
622,Hamburger,68
623,Hamburger,80
624,Hamburger,76
625,Hamburger,69
626,Hamburger,70
627,Hamburger,70
628,Hamburger,57
629,Hamburger,52
630,Hamburger,54
631,Goi_cuon,56
632,Goi_cuon,68
633,Goi_cuon,64
634,Goi_cuon,72
635,Goi_cuon,53
636,Goi_cuon,56
637,Goi_cuon,54
638,Hamburger,82
639,Hamburger,69
640,Hamburger,80
641,Goi_cuon,55
642,Hamburger,89
643,Hamburger,88
644,Hamburger,86
645,Hamburger,57
646,Hamburger,52
647,Hamburger,56
648,Hamburger,61
649,Hamburger,59
650,Hamburger,56
651,Hamburger,74
652,Hamburger,56
653,Pho,75
654,Pho,75
655,Pho,70
656,Pho,73
657,Pho,70
658,Pho,59
659,Pho,64
660,Salad,52
661,Salad,84
662,Salad,81
663,Salad,65
664,Salad,66
665,Salad,59
666,Salad,53
667,Rau,64
668,Pho,52
669,Pho,55
670,Pho,54
671,Pho,65
672,Pho,71
673,Pho,78
674,Pho,83
675,Pho,73
676,Pho,85
677,Pho,89
678,Pho,89
679,Pho,91
